query_id,query_text,query_class,query_subtype,fact_id,fact_text,gold_relevant,hard_negative_labels,RAW_SCORE,LOGIT_SCORE,rank_within_query
CQ01,Who works on Project Helix?,answerable,narrow,CF17,Project Quasar uses Elixir.,False,,2.668313572939951e-05,,26
CQ01,Who works on Project Helix?,answerable,narrow,CF18,Project Quasar depends on Celery.,False,HN4,0.0002705457154661417,,14
CQ01,Who works on Project Helix?,answerable,narrow,CF19,Project Quasar supports feature streaming.,False,,1.985514973057434e-05,,32
CQ01,Who works on Project Helix?,answerable,narrow,CF20,Project Quasar does NOT support feature streaming.,False,,1.633705323911272e-05,,38
CQ01,Who works on Project Helix?,answerable,narrow,CF21,Nadia works on Project Ember.,False,,0.005788130220025778,,10
CQ01,Who works on Project Helix?,answerable,narrow,CF22,Project Ember uses PostgreSQL in production.,False,,1.8057708075502887e-05,,35
CQ01,Who works on Project Helix?,answerable,narrow,CF23,Project Ember uses SQLite in tests.,False,,1.7659776858636178e-05,,36
CQ01,Who works on Project Helix?,answerable,narrow,CF24,Feature auth is enabled by default in Project Ember.,False,,1.615746077732183e-05,,39
CQ01,Who works on Project Helix?,answerable,narrow,CF25,Feature auth is enabled only when DEBUG_MODE=true in Project Ember.,False,,1.6089803466456942e-05,,40
CQ01,Who works on Project Helix?,answerable,narrow,CF26,Owen works on Project Lattice.,False,,0.002608473412692547,,13
CQ01,Who works on Project Helix?,answerable,narrow,CF27,Project Lattice requires more than 16 GB of memory.,False,,2.2527132387040183e-05,,29
CQ01,Who works on Project Helix?,answerable,narrow,CF28,Project Lattice requires less than 16 GB of memory.,False,HN6|HN12,1.9396971765672788e-05,,33
CQ01,Who works on Project Helix?,answerable,narrow,CF29,Project Lattice is deployed in Singapore.,False,,2.126299477822613e-05,,30
CQ01,Who works on Project Helix?,answerable,narrow,CF30,Priya confirmed migration Lattice-Blue.,False,,1.7540238332003355e-05,,37
CQ01,Who works on Project Helix?,answerable,narrow,CF31,Kai works on Project Flux.,False,,0.007776329759508371,,6
CQ01,Who works on Project Helix?,answerable,narrow,CF32,Project Flux uses Go.,False,HN6,2.875300924642943e-05,,24
CQ01,Who works on Project Helix?,answerable,narrow,CF33,Kai said that Priya may confirm migration Lattice-Blue.,False,,3.905788253177889e-05,,22
CQ01,Who works on Project Helix?,answerable,narrow,CF34,Project Flux has status alpha.,False,,5.188399154576473e-05,,20
CQ01,Who works on Project Helix?,answerable,narrow,CF35,Project Flux is owned by Apex Labs.,False,,0.00021274673053994775,,16
CQ01,Who works on Project Helix?,answerable,narrow,CF36,Priya works on Project Harbor.,False,,0.0123416967689991,,5
CQ01,Who works on Project Helix?,answerable,narrow,CF37,Project Harbor uses TypeScript.,False,,2.1093906980240718e-05,,31
CQ01,Who works on Project Helix?,answerable,narrow,CF38,Project Harbor depends on Redis.,False,,0.00021334149641916156,,15
CQ01,Who works on Project Helix?,answerable,narrow,CF39,Project Harbor has status GA.,False,,1.910543505800888e-05,,34
CQ01,Who works on Project Helix?,answerable,narrow,CF40,Project HelixCore uses Ruby.,False,HN5|HN3,0.007408211939036846,,8
CQ02,What language does Project Cascade use?,answerable,narrow,CF01,Mira works on Project Helix.,False,,2.7931188014918007e-05,,31
CQ02,What language does Project Cascade use?,answerable,narrow,CF02,Project Helix uses Go.,False,HN2,0.0168922021985054,,5
CQ02,What language does Project Cascade use?,answerable,narrow,CF03,Project Helix depends on Redis.,False,,0.00020429895084816962,,17
CQ02,What language does Project Cascade use?,answerable,narrow,CF04,Project Helix is owned by Apex Labs.,False,,7.580053352285177e-05,,21
CQ02,What language does Project Cascade use?,answerable,narrow,CF05,Project Helix is deployed in Frankfurt.,False,,2.9794016882078722e-05,,30
CQ02,What language does Project Cascade use?,answerable,narrow,CF06,Jonas works on Project Cascade.,False,HN1,0.0031387978233397007,,13
CQ02,What language does Project Cascade use?,answerable,narrow,CF07,Project Cascade uses TypeScript.,True,,0.9942968487739563,,1
CQ02,What language does Project Cascade use?,answerable,narrow,CF08,Project Cascade depends on Kafka.,False,HN1,0.9472389817237854,,2
CQ02,What language does Project Cascade use?,answerable,narrow,CF09,Project Cascade is owned by Northwind Systems.,False,,0.03565826267004013,,4
CQ02,What language does Project Cascade use?,answerable,narrow,CF10,Project Cascade has status beta.,False,HN1,0.040838588029146194,,3
CQ02,What language does Project Cascade use?,answerable,narrow,CF11,Elena works on Project Prism.,False,,1.7247486539417878e-05,,38
CQ02,What language does Project Cascade use?,answerable,narrow,CF12,Project Prism uses Kotlin.,False,HN2,0.013296952471137047,,9
CQ02,What language does Project Cascade use?,answerable,narrow,CF13,Project Prism depends on Grafana.,False,,0.00023987410531844944,,16
CQ02,What language does Project Cascade use?,answerable,narrow,CF14,Project Prism currently uses Go for the API layer.,False,,0.00953245721757412,,10
CQ02,What language does Project Cascade use?,answerable,narrow,CF15,Project Prism previously used Python for the API layer.,False,HN4,0.007072928361594677,,12
CQ02,What language does Project Cascade use?,answerable,narrow,CF16,Theo works on Project Quasar.,False,,2.4431272322544828e-05,,34
CQ02,What language does Project Cascade use?,answerable,narrow,CF17,Project Quasar uses Elixir.,False,,0.007147345691919327,,11
CQ02,What language does Project Cascade use?,answerable,narrow,CF18,Project Quasar depends on Celery.,False,,0.00018564301717560738,,18
CQ02,What language does Project Cascade use?,answerable,narrow,CF19,Project Quasar supports feature streaming.,False,,6.568111712113023e-05,,23
CQ02,What language does Project Cascade use?,answerable,narrow,CF20,Project Quasar does NOT support feature streaming.,False,,3.482874308247119e-05,,29
CQ02,What language does Project Cascade use?,answerable,narrow,CF21,Nadia works on Project Ember.,False,,2.639391277625691e-05,,32
CQ02,What language does Project Cascade use?,answerable,narrow,CF22,Project Ember uses PostgreSQL in production.,False,,0.0022281003184616566,,14
CQ02,What language does Project Cascade use?,answerable,narrow,CF23,Project Ember uses SQLite in tests.,False,HN9,0.002089382614940405,,15
CQ02,What language does Project Cascade use?,answerable,narrow,CF24,Feature auth is enabled by default in Project Ember.,False,,0.00010029231634689495,,19
CQ02,What language does Project Cascade use?,answerable,narrow,CF25,Feature auth is enabled only when DEBUG_MODE=true in Project Ember.,False,,2.5734563678270206e-05,,33
CQ02,What language does Project Cascade use?,answerable,narrow,CF26,Owen works on Project Lattice.,False,,1.9607896319939755e-05,,36
CQ02,What language does Project Cascade use?,answerable,narrow,CF27,Project Lattice requires more than 16 GB of memory.,False,HN6,3.942254261346534e-05,,27
CQ02,What language does Project Cascade use?,answerable,narrow,CF28,Project Lattice requires less than 16 GB of memory.,False,,4.109850124223158e-05,,26
CQ02,What language does Project Cascade use?,answerable,narrow,CF29,Project Lattice is deployed in Singapore.,False,,3.659438880276866e-05,,28
CQ02,What language does Project Cascade use?,answerable,narrow,CF30,Priya confirmed migration Lattice-Blue.,False,,1.6460897313663736e-05,,39
CQ02,What language does Project Cascade use?,answerable,narrow,CF31,Kai works on Project Flux.,False,,1.9133698515361175e-05,,37
CQ02,What language does Project Cascade use?,answerable,narrow,CF32,Project Flux uses Go.,False,,0.015925325453281403,,6
CQ02,What language does Project Cascade use?,answerable,narrow,CF33,Kai said that Priya may confirm migration Lattice-Blue.,False,,1.626623998163268e-05,,40
CQ02,What language does Project Cascade use?,answerable,narrow,CF34,Project Flux has status alpha.,False,,9.364056313643232e-05,,20
CQ02,What language does Project Cascade use?,answerable,narrow,CF35,Project Flux is owned by Apex Labs.,False,,5.6775490520522e-05,,24
CQ02,What language does Project Cascade use?,answerable,narrow,CF36,Priya works on Project Harbor.,False,,2.0721798136946745e-05,,35
CQ02,What language does Project Cascade use?,answerable,narrow,CF37,Project Harbor uses TypeScript.,False,HN2|HN3,0.014344653114676476,,7
CQ02,What language does Project Cascade use?,answerable,narrow,CF38,Project Harbor depends on Redis.,False,,7.437195745296776e-05,,22
CQ02,What language does Project Cascade use?,answerable,narrow,CF39,Project Harbor has status GA.,False,,4.51518535555806e-05,,25
CQ02,What language does Project Cascade use?,answerable,narrow,CF40,Project HelixCore uses Ruby.,False,HN6,0.013463410548865795,,8
CQ03,What does Project Helix depend on?,answerable,narrow,CF01,Mira works on Project Helix.,False,HN1,0.026034759357571602,,8
CQ03,What does Project Helix depend on?,answerable,narrow,CF02,Project Helix uses Go.,False,HN1,0.18194462358951569,,3
CQ03,What does Project Helix depend on?,answerable,narrow,CF03,Project Helix depends on Redis.,True,,0.9987726807594299,,1
CQ03,What does Project Helix depend on?,answerable,narrow,CF04,Project Helix is owned by Apex Labs.,False,,0.6938347816467285,,2
CQ03,What does Project Helix depend on?,answerable,narrow,CF05,Project Helix is deployed in Frankfurt.,False,,0.0166009534150362,,10
CQ03,What does Project Helix depend on?,answerable,narrow,CF06,Jonas works on Project Cascade.,False,,1.9628458176157437e-05,,34
CQ03,What does Project Helix depend on?,answerable,narrow,CF07,Project Cascade uses TypeScript.,False,,0.0001831554836826399,,20
CQ03,What does Project Helix depend on?,answerable,narrow,CF08,Project Cascade depends on Kafka.,False,HN2,0.019266396760940552,,9
CQ03,What does Project Helix depend on?,answerable,narrow,CF09,Project Cascade is owned by Northwind Systems.,False,,0.00013728249177802354,,23
CQ03,What does Project Helix depend on?,answerable,narrow,CF10,Project Cascade has status beta.,False,,5.8268531574867666e-05,,27
CQ03,What does Project Helix depend on?,answerable,narrow,CF11,Elena works on Project Prism.,False,,1.7985148588195443e-05,,36
CQ03,What does Project Helix depend on?,answerable,narrow,CF12,Project Prism uses Kotlin.,False,,0.00042693247087299824,,14
CQ03,What does Project Helix depend on?,answerable,narrow,CF13,Project Prism depends on Grafana.,False,HN2,0.03249140456318855,,7
CQ03,What does Project Helix depend on?,answerable,narrow,CF14,Project Prism currently uses Go for the API layer.,False,,0.00034216325730085373,,16
CQ03,What does Project Helix depend on?,answerable,narrow,CF15,Project Prism previously used Python for the API layer.,False,,0.00033090836950577796,,17
CQ03,What does Project Helix depend on?,answerable,narrow,CF16,Theo works on Project Quasar.,False,,2.0957239030394703e-05,,32
CQ03,What does Project Helix depend on?,answerable,narrow,CF17,Project Quasar uses Elixir.,False,,0.0006494592525996268,,11
CQ03,What does Project Helix depend on?,answerable,narrow,CF18,Project Quasar depends on Celery.,False,HN2,0.044371556490659714,,6
CQ03,What does Project Helix depend on?,answerable,narrow,CF19,Project Quasar supports feature streaming.,False,,7.442119385814294e-05,,25
CQ03,What does Project Helix depend on?,answerable,narrow,CF20,Project Quasar does NOT support feature streaming.,False,HN4,3.770132389036007e-05,,28
CQ03,What does Project Helix depend on?,answerable,narrow,CF21,Nadia works on Project Ember.,False,,1.8714159523369744e-05,,35
CQ03,What does Project Helix depend on?,answerable,narrow,CF22,Project Ember uses PostgreSQL in production.,False,,0.00017401555669493973,,21
CQ03,What does Project Helix depend on?,answerable,narrow,CF23,Project Ember uses SQLite in tests.,False,HN9,0.00013989275612402707,,22
CQ03,What does Project Helix depend on?,answerable,narrow,CF24,Feature auth is enabled by default in Project Ember.,False,,1.760932536853943e-05,,37
CQ03,What does Project Helix depend on?,answerable,narrow,CF25,Feature auth is enabled only when DEBUG_MODE=true in Project Ember.,False,,1.6689416952431202e-05,,38
CQ03,What does Project Helix depend on?,answerable,narrow,CF26,Owen works on Project Lattice.,False,,2.024900823016651e-05,,33
CQ03,What does Project Helix depend on?,answerable,narrow,CF27,Project Lattice requires more than 16 GB of memory.,False,,0.0005438972148112953,,12
CQ03,What does Project Helix depend on?,answerable,narrow,CF28,Project Lattice requires less than 16 GB of memory.,False,HN6,0.0005192214739508927,,13
CQ03,What does Project Helix depend on?,answerable,narrow,CF29,Project Lattice is deployed in Singapore.,False,,2.569584103184752e-05,,30
CQ03,What does Project Helix depend on?,answerable,narrow,CF30,Priya confirmed migration Lattice-Blue.,False,,1.6268428225885145e-05,,40
CQ03,What does Project Helix depend on?,answerable,narrow,CF31,Kai works on Project Flux.,False,,2.484879587427713e-05,,31
CQ03,What does Project Helix depend on?,answerable,narrow,CF32,Project Flux uses Go.,False,,0.0004245048330631107,,15
CQ03,What does Project Helix depend on?,answerable,narrow,CF33,Kai said that Priya may confirm migration Lattice-Blue.,False,,1.632045314181596e-05,,39
CQ03,What does Project Helix depend on?,answerable,narrow,CF34,Project Flux has status alpha.,False,,0.0002622983301989734,,19
CQ03,What does Project Helix depend on?,answerable,narrow,CF35,Project Flux is owned by Apex Labs.,False,,0.0002746719401329756,,18
CQ03,What does Project Helix depend on?,answerable,narrow,CF36,Priya works on Project Harbor.,False,,2.607271926535759e-05,,29
CQ03,What does Project Helix depend on?,answerable,narrow,CF37,Project Harbor uses TypeScript.,False,,0.0001311699306825176,,24
CQ03,What does Project Helix depend on?,answerable,narrow,CF38,Project Harbor depends on Redis.,False,HN2|HN3,0.0625259280204773,,4
CQ03,What does Project Helix depend on?,answerable,narrow,CF39,Project Harbor has status GA.,False,,6.223182572284713e-05,,26
CQ03,What does Project Helix depend on?,answerable,narrow,CF40,Project HelixCore uses Ruby.,False,HN5,0.058990806341171265,,5
CQ04,Where is Project Helix deployed?,answerable,narrow,CF01,Mira works on Project Helix.,False,HN1,0.02239132486283779,,5
CQ04,Where is Project Helix deployed?,answerable,narrow,CF02,Project Helix uses Go.,False,HN1,0.014647156931459904,,6
CQ04,Where is Project Helix deployed?,answerable,narrow,CF03,Project Helix depends on Redis.,False,,0.04941391199827194,,3
CQ04,Where is Project Helix deployed?,answerable,narrow,CF04,Project Helix is owned by Apex Labs.,False,,0.07855784893035889,,2
CQ04,Where is Project Helix deployed?,answerable,narrow,CF05,Project Helix is deployed in Frankfurt.,True,,0.99959796667099,,1
CQ04,Where is Project Helix deployed?,answerable,narrow,CF06,Jonas works on Project Cascade.,False,HN6,4.80274720757734e-05,,23
CQ04,Where is Project Helix deployed?,answerable,narrow,CF07,Project Cascade uses TypeScript.,False,,4.123877806705423e-05,,27
CQ04,Where is Project Helix deployed?,answerable,narrow,CF08,Project Cascade depends on Kafka.,False,,5.3528070566244423e-05,,18
CQ04,Where is Project Helix deployed?,answerable,narrow,CF09,Project Cascade is owned by Northwind Systems.,False,,6.452294474001974e-05,,16
CQ04,Where is Project Helix deployed?,answerable,narrow,CF10,Project Cascade has status beta.,False,,0.00011313573486404493,,11
CQ04,Where is Project Helix deployed?,answerable,narrow,CF11,Elena works on Project Prism.,False,,2.2360314687830396e-05,,34
CQ04,Where is Project Helix deployed?,answerable,narrow,CF12,Project Prism uses Kotlin.,False,,4.851268749916926e-05,,22
CQ04,Where is Project Helix deployed?,answerable,narrow,CF13,Project Prism depends on Grafana.,False,,5.181916640140116e-05,,19
CQ04,Where is Project Helix deployed?,answerable,narrow,CF14,Project Prism currently uses Go for the API layer.,False,,8.820091898087412e-05,,12
CQ04,Where is Project Helix deployed?,answerable,narrow,CF15,Project Prism previously used Python for the API layer.,False,HN4|HN8,6.485934864031151e-05,,15
CQ04,Where is Project Helix deployed?,answerable,narrow,CF16,Theo works on Project Quasar.,False,,2.569640491856262e-05,,31
CQ04,Where is Project Helix deployed?,answerable,narrow,CF17,Project Quasar uses Elixir.,False,,4.137171708862297e-05,,26
CQ04,Where is Project Helix deployed?,answerable,narrow,CF18,Project Quasar depends on Celery.,False,,6.845229654572904e-05,,14
CQ04,Where is Project Helix deployed?,answerable,narrow,CF19,Project Quasar supports feature streaming.,False,,2.2113033992354758e-05,,35
CQ04,Where is Project Helix deployed?,answerable,narrow,CF20,Project Quasar does NOT support feature streaming.,False,,1.7141526768682525e-05,,39
CQ04,Where is Project Helix deployed?,answerable,narrow,CF21,Nadia works on Project Ember.,False,,1.7996660972130485e-05,,37
CQ04,Where is Project Helix deployed?,answerable,narrow,CF22,Project Ember uses PostgreSQL in production.,False,,2.546183895901777e-05,,32
CQ04,Where is Project Helix deployed?,answerable,narrow,CF23,Project Ember uses SQLite in tests.,False,HN6,2.2393007384380326e-05,,33
CQ04,Where is Project Helix deployed?,answerable,narrow,CF24,Feature auth is enabled by default in Project Ember.,False,,1.6267109458567575e-05,,40
CQ04,Where is Project Helix deployed?,answerable,narrow,CF25,Feature auth is enabled only when DEBUG_MODE=true in Project Ember.,False,,1.7683454643702134e-05,,38
CQ04,Where is Project Helix deployed?,answerable,narrow,CF26,Owen works on Project Lattice.,False,,1.9252487618359737e-05,,36
CQ04,Where is Project Helix deployed?,answerable,narrow,CF27,Project Lattice requires more than 16 GB of memory.,False,,3.973434286308475e-05,,28
CQ04,Where is Project Helix deployed?,answerable,narrow,CF28,Project Lattice requires less than 16 GB of memory.,False,,3.830125569947995e-05,,29
CQ04,Where is Project Helix deployed?,answerable,narrow,CF29,Project Lattice is deployed in Singapore.,False,HN2,0.040844373404979706,,4
CQ04,Where is Project Helix deployed?,answerable,narrow,CF30,Priya confirmed migration Lattice-Blue.,False,,4.875260128756054e-05,,21
CQ04,Where is Project Helix deployed?,answerable,narrow,CF31,Kai works on Project Flux.,False,,2.929119364125654e-05,,30
CQ04,Where is Project Helix deployed?,answerable,narrow,CF32,Project Flux uses Go.,False,,4.205984441796318e-05,,25
CQ04,Where is Project Helix deployed?,answerable,narrow,CF33,Kai said that Priya may confirm migration Lattice-Blue.,False,,4.9205707910005e-05,,20
CQ04,Where is Project Helix deployed?,answerable,narrow,CF34,Project Flux has status alpha.,False,,6.967376248212531e-05,,13
CQ04,Where is Project Helix deployed?,answerable,narrow,CF35,Project Flux is owned by Apex Labs.,False,,6.360547558870167e-05,,17
CQ04,Where is Project Helix deployed?,answerable,narrow,CF36,Priya works on Project Harbor.,False,,0.00020396846230141819,,9
CQ04,Where is Project Helix deployed?,answerable,narrow,CF37,Project Harbor uses TypeScript.,False,,4.500925570027903e-05,,24
CQ04,Where is Project Helix deployed?,answerable,narrow,CF38,Project Harbor depends on Redis.,False,,0.00016154702461790293,,10
CQ04,Where is Project Helix deployed?,answerable,narrow,CF39,Project Harbor has status GA.,False,,0.0003326375735923648,,8
CQ04,Where is Project Helix deployed?,answerable,narrow,CF40,Project HelixCore uses Ruby.,False,HN5,0.005606244318187237,,7
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF01,Mira works on Project Helix.,False,HN2,0.00039455003570765257,,6
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF02,Project Helix uses Go.,False,,1.702697409200482e-05,,28
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF03,Project Helix depends on Redis.,False,,0.0002391071175225079,,13
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF04,Project Helix is owned by Apex Labs.,False,,2.1415253286249936e-05,,21
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF05,Project Helix is deployed in Frankfurt.,False,,2.1873764126212336e-05,,20
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF06,Jonas works on Project Cascade.,False,HN2,0.0002742357610259205,,11
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF07,Project Cascade uses TypeScript.,False,,1.650393460295163e-05,,32
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF08,Project Cascade depends on Kafka.,False,,7.870372792240232e-05,,17
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF09,Project Cascade is owned by Northwind Systems.,False,,1.721925218589604e-05,,26
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF10,Project Cascade has status beta.,False,,1.8791239199345e-05,,22
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF11,Elena works on Project Prism.,True,,0.41935840249061584,,2
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF12,Project Prism uses Kotlin.,False,HN1,0.005514760501682758,,3
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF13,Project Prism depends on Grafana.,False,HN1,0.5613895058631897,,1
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF14,Project Prism currently uses Go for the API layer.,False,HN4,0.00196849019266665,,4
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF15,Project Prism previously used Python for the API layer.,False,HN4|HN8,0.0014320312766358256,,5
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF16,Theo works on Project Quasar.,False,,0.0003274362825322896,,9
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF17,Project Quasar uses Elixir.,False,,1.8070146325044334e-05,,24
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF18,Project Quasar depends on Celery.,False,,0.00038952924660407007,,7
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF19,Project Quasar supports feature streaming.,False,,1.6331789083778858e-05,,37
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF20,Project Quasar does NOT support feature streaming.,False,,1.63249369506957e-05,,38
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF21,Nadia works on Project Ember.,False,,0.00037984325899742544,,8
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF22,Project Ember uses PostgreSQL in production.,False,,1.6375128325307742e-05,,36
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF23,Project Ember uses SQLite in tests.,False,,1.649897785682697e-05,,33
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF24,Feature auth is enabled by default in Project Ember.,False,,1.6267202227027155e-05,,39
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF25,Feature auth is enabled only when DEBUG_MODE=true in Project Ember.,False,,1.608423553989269e-05,,40
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF26,Owen works on Project Lattice.,False,HN2,0.00016466379747726023,,14
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF27,Project Lattice requires more than 16 GB of memory.,False,,1.683973277977202e-05,,29
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF28,Project Lattice requires less than 16 GB of memory.,False,,1.638243702473119e-05,,35
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF29,Project Lattice is deployed in Singapore.,False,,1.8398148313281126e-05,,23
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF30,Priya confirmed migration Lattice-Blue.,False,,5.550623609451577e-05,,18
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF31,Kai works on Project Flux.,False,,0.00032404420198872685,,10
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF32,Project Flux uses Go.,False,,1.6562304153922014e-05,,31
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF33,Kai said that Priya may confirm migration Lattice-Blue.,False,HN3,0.00012438312114682049,,15
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF34,Project Flux has status alpha.,False,,2.5721239580889232e-05,,19
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF35,Project Flux is owned by Apex Labs.,False,,1.7922789993463084e-05,,25
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF36,Priya works on Project Harbor.,False,,0.00027115357806906104,,12
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF37,Project Harbor uses TypeScript.,False,,1.6391924873460084e-05,,34
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF38,Project Harbor depends on Redis.,False,,0.00010672725329641253,,16
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF39,Project Harbor has status GA.,False,,1.7167192709166557e-05,,27
CQ05,Which person is assigned to Project Prism?,answerable,paraphrase,CF40,Project HelixCore uses Ruby.,False,HN6,1.672722828516271e-05,,30
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF01,Mira works on Project Helix.,False,,5.501383566297591e-05,,33
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF02,Project Helix uses Go.,False,HN2,0.024234652519226074,,4
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF03,Project Helix depends on Redis.,False,,0.000307596696075052,,24
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF04,Project Helix is owned by Apex Labs.,False,,0.0004347475478425622,,21
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF05,Project Helix is deployed in Frankfurt.,False,,6.247853889362887e-05,,32
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF06,Jonas works on Project Cascade.,False,,3.0333751055877656e-05,,38
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF07,Project Cascade uses TypeScript.,False,HN2,0.019492309540510178,,8
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF08,Project Cascade depends on Kafka.,False,,0.02207203023135662,,5
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF09,Project Cascade is owned by Northwind Systems.,False,,0.00011601565347518772,,30
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF10,Project Cascade has status beta.,False,,0.00035394859150983393,,22
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF11,Elena works on Project Prism.,False,,4.575910497806035e-05,,34
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF12,Project Prism uses Kotlin.,False,HN2,0.01512385904788971,,9
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF13,Project Prism depends on Grafana.,False,,0.0010032056597992778,,17
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF14,Project Prism currently uses Go for the API layer.,False,HN4,0.019689902663230896,,7
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF15,Project Prism previously used Python for the API layer.,False,HN8,0.012966351583600044,,10
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF16,Theo works on Project Quasar.,False,HN1,0.008312963880598545,,13
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF17,Project Quasar uses Elixir.,True,,0.9576945304870605,,1
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF18,Project Quasar depends on Celery.,False,HN1,0.8772420883178711,,2
CQ06,What programming language powers Project Quasar?,answerable,paraphrase,CF19,Project Quasar supports feature streaming.,False,,0.07084989547729492,,3
